Event	ID	Name			Wwise Object Path	Notes
	374651290	BOCCHI_THE_ROCK_KITA_KUDOS_A			\Default Work Unit\Speech\BOCCHI_THE_ROCK_KITA_KUDOS_A	
	605539372	BOCCHI_THE_ROCK_KITA_FIRST_MEET_A			\Default Work Unit\Speech\BOCCHI_THE_ROCK_KITA_FIRST_MEET_A	
	970652293	BOCCHI_THE_ROCK_BOCCHI_FIRST_MEET_A			\Default Work Unit\Speech\BOCCHI_THE_ROCK_BOCCHI_FIRST_MEET_A	
	1288574186	BOCCHI_THE_ROCK_BOCCHI_DECLARE_WAR_FROM_AI_A			\Default Work Unit\Speech\BOCCHI_THE_ROCK_BOCCHI_DECLARE_WAR_FROM_AI_A	
	1553738004	BOCCHI_THE_ROCK_KITA_WARNING_A			\Default Work Unit\Speech\BOCCHI_THE_ROCK_KITA_WARNING_A	
	1881772355	BOCCHI_THE_ROCK_NIJIKA_KUDOS_A			\Default Work Unit\Speech\BOCCHI_THE_ROCK_NIJIKA_KUDOS_A	
	1928002522	BOCCHI_THE_ROCK_BOCCHI_DECLARE_WAR_A			\Default Work Unit\Speech\BOCCHI_THE_ROCK_BOCCHI_DECLARE_WAR_A	
	2014301730	BOCCHI_THE_ROCK_RYO_DECLARE_WAR_FROM_AI_A			\Default Work Unit\Speech\BOCCHI_THE_ROCK_RYO_DECLARE_WAR_FROM_AI_A	
	2249133839	BOCCHI_THE_ROCK_NIJIKA_FIRST_MEET_A			\Default Work Unit\Speech\BOCCHI_THE_ROCK_NIJIKA_FIRST_MEET_A	
	2252741940	BOCCHI_THE_ROCK_NIJIKA_DECLARE_WAR_A			\Default Work Unit\Speech\BOCCHI_THE_ROCK_NIJIKA_DECLARE_WAR_A	
	3232725229	BOCCHI_THE_ROCK_RYO_FIRST_MEET_A			\Default Work Unit\Speech\BOCCHI_THE_ROCK_RYO_FIRST_MEET_A	
	3239569890	BOCCHI_THE_ROCK_RYO_DECLARE_WAR_A			\Default Work Unit\Speech\BOCCHI_THE_ROCK_RYO_DECLARE_WAR_A	
	3325858307	BOCCHI_THE_ROCK_BOCCHI_WARNING_A			\Default Work Unit\Speech\BOCCHI_THE_ROCK_BOCCHI_WARNING_A	
	3577381595	BOCCHI_THE_ROCK_RYO_WARNING_A			\Default Work Unit\Speech\BOCCHI_THE_ROCK_RYO_WARNING_A	
	3770961549	BOCCHI_THE_ROCK_KITA_DECLARE_WAR_FROM_AI_A			\Default Work Unit\Speech\BOCCHI_THE_ROCK_KITA_DECLARE_WAR_FROM_AI_A	
	3987320281	BOCCHI_THE_ROCK_RYO_KUDOS_A			\Default Work Unit\Speech\BOCCHI_THE_ROCK_RYO_KUDOS_A	
	3987320282	BOCCHI_THE_ROCK_RYO_KUDOS_B			\Default Work Unit\Speech\BOCCHI_THE_ROCK_RYO_KUDOS_B	
	4005651384	BOCCHI_THE_ROCK_NIJIKA_DECLARE_WAR_FROM_AI_A			\Default Work Unit\Speech\BOCCHI_THE_ROCK_NIJIKA_DECLARE_WAR_FROM_AI_A	
	4094299985	BOCCHI_THE_ROCK_BOCCHI_KUDOS_A			\Default Work Unit\Speech\BOCCHI_THE_ROCK_BOCCHI_KUDOS_A	
	4132556841	BOCCHI_THE_ROCK_BOCCHI_NEUTRAL_TO_HAPPY			\Default Work Unit\Speech\BOCCHI_THE_ROCK_BOCCHI_NEUTRAL_TO_HAPPY	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	7247460	BOCCHI_THE_ROCK_KITA_WARNING_A	C:\Users\14830\3D Objects\CIV_MOD\BOCCHI_BACKROUND_MUSIC\BOCCHI_BACKROUND\.cache\Windows\SFX\BOCCHI_THE_ROCK_KITA_WARNING_A_988004FB.wem		\Actor-Mixer Hierarchy\LeaderSpeech_BOCCHI_THE_ROCK\id88602518\id854467727\id424381547\BOCCHISpeech\BOCCHI_THE_ROCK_KITA_WARNING_A		14587
	9054792	BOCCHI_THE_ROCK_RYO_DECLARE_WAR_A	C:\Users\14830\3D Objects\CIV_MOD\BOCCHI_BACKROUND_MUSIC\BOCCHI_BACKROUND\.cache\Windows\SFX\BOCCHI_THE_ROCK_RYO_DECLARE_WAR_A_988004FB.wem		\Actor-Mixer Hierarchy\LeaderSpeech_BOCCHI_THE_ROCK\id88602518\id854467727\id424381547\BOCCHISpeech\BOCCHI_THE_ROCK_RYO_DECLARE_WAR_A		10387
	36040818	BOCCHI_THE_ROCK_KITA_FIRST_MEET_A	C:\Users\14830\3D Objects\CIV_MOD\BOCCHI_BACKROUND_MUSIC\BOCCHI_BACKROUND\.cache\Windows\SFX\BOCCHI_THE_ROCK_KITA_FIRST_MEET_A_988004FB.wem		\Actor-Mixer Hierarchy\LeaderSpeech_BOCCHI_THE_ROCK\id88602518\id854467727\id424381547\BOCCHISpeech\BOCCHI_THE_ROCK_KITA_FIRST_MEET_A		19506
	45445687	BOCCHI_THE_ROCK_NIJIKA_DECLARE_WAR_FROM_AI_A	C:\Users\14830\3D Objects\CIV_MOD\BOCCHI_BACKROUND_MUSIC\BOCCHI_BACKROUND\.cache\Windows\SFX\BOCCHI_THE_ROCK_NIJIKA_DECLARE_WAR_FROM_AI_A_988004FB.wem		\Actor-Mixer Hierarchy\LeaderSpeech_BOCCHI_THE_ROCK\id88602518\id854467727\id424381547\BOCCHISpeech\BOCCHI_THE_ROCK_NIJIKA_DECLARE_WAR_FROM_AI_A		19801
	213369437	BOCCHI_THE_ROCK_BOCCHI_NEUTRAL_TO_HAPPY	C:\Users\14830\3D Objects\CIV_MOD\BOCCHI_BACKROUND_MUSIC\BOCCHI_BACKROUND\.cache\Windows\SFX\BOCCHI_THE_ROCK_BOCCHI_NEUTRAL_TO_HAPPY_988004FB.wem		\Actor-Mixer Hierarchy\LeaderSpeech_BOCCHI_THE_ROCK\id88602518\id854467727\id424381547\BOCCHISpeech\BOCCHI_THE_ROCK_BOCCHI_NEUTRAL_TO_HAPPY		43024
	240872359	BOCCHI_THE_ROCK_RYO_WARNING_A	C:\Users\14830\3D Objects\CIV_MOD\BOCCHI_BACKROUND_MUSIC\BOCCHI_BACKROUND\.cache\Windows\SFX\BOCCHI_THE_ROCK_RYO_WARNING_A_988004FB.wem		\Actor-Mixer Hierarchy\LeaderSpeech_BOCCHI_THE_ROCK\id88602518\id854467727\id424381547\BOCCHISpeech\BOCCHI_THE_ROCK_RYO_WARNING_A		12802
	402095838	BOCCHI_THE_ROCK_RYO_FIRST_MEET_A	C:\Users\14830\3D Objects\CIV_MOD\BOCCHI_BACKROUND_MUSIC\BOCCHI_BACKROUND\.cache\Windows\SFX\BOCCHI_THE_ROCK_RYO_FIRST_MEET_A_988004FB.wem		\Actor-Mixer Hierarchy\LeaderSpeech_BOCCHI_THE_ROCK\id88602518\id854467727\id424381547\BOCCHISpeech\BOCCHI_THE_ROCK_RYO_FIRST_MEET_A		22592
	449489085	BOCCHI_THE_ROCK_RYO_DECLARE_WAR_FROM_AI_A	C:\Users\14830\3D Objects\CIV_MOD\BOCCHI_BACKROUND_MUSIC\BOCCHI_BACKROUND\.cache\Windows\SFX\BOCCHI_THE_ROCK_RYO_DECLARE_WAR_FROM_AI_A_988004FB.wem		\Actor-Mixer Hierarchy\LeaderSpeech_BOCCHI_THE_ROCK\id88602518\id854467727\id424381547\BOCCHISpeech\BOCCHI_THE_ROCK_RYO_DECLARE_WAR_FROM_AI_A		27149
	484128042	BOCCHI_THE_ROCK_NIJIKA_FIRST_MEET_A	C:\Users\14830\3D Objects\CIV_MOD\BOCCHI_BACKROUND_MUSIC\BOCCHI_BACKROUND\.cache\Windows\SFX\BOCCHI_THE_ROCK_NIJIKA_FIRST_MEET_A_988004FB.wem		\Actor-Mixer Hierarchy\LeaderSpeech_BOCCHI_THE_ROCK\id88602518\id854467727\id424381547\BOCCHISpeech\BOCCHI_THE_ROCK_NIJIKA_FIRST_MEET_A		19690
	609923226	BOCCHI_THE_ROCK_BOCCHI_WARNING_A	C:\Users\14830\3D Objects\CIV_MOD\BOCCHI_BACKROUND_MUSIC\BOCCHI_BACKROUND\.cache\Windows\SFX\BOCCHI_THE_ROCK_BOCCHI_WARNING_A_988004FB.wem		\Actor-Mixer Hierarchy\LeaderSpeech_BOCCHI_THE_ROCK\id88602518\id854467727\id424381547\BOCCHISpeech\BOCCHI_THE_ROCK_BOCCHI_WARNING_A		27603
	626287211	BOCCHI_THE_ROCK_BOCCHI_DECLARE_WAR_A	C:\Users\14830\3D Objects\CIV_MOD\BOCCHI_BACKROUND_MUSIC\BOCCHI_BACKROUND\.cache\Windows\SFX\BOCCHI_THE_ROCK_BOCCHI_DECLARE_WAR_A_988004FB.wem		\Actor-Mixer Hierarchy\LeaderSpeech_BOCCHI_THE_ROCK\id88602518\id854467727\id424381547\BOCCHISpeech\BOCCHI_THE_ROCK_BOCCHI_DECLARE_WAR_A		10279
	673583819	BOCCHI_THE_ROCK_BOCCHI_FIRST_MEET_A	C:\Users\14830\3D Objects\CIV_MOD\BOCCHI_BACKROUND_MUSIC\BOCCHI_BACKROUND\.cache\Windows\SFX\BOCCHI_THE_ROCK_BOCCHI_FIRST_MEET_A_988004FB.wem		\Actor-Mixer Hierarchy\LeaderSpeech_BOCCHI_THE_ROCK\id88602518\id854467727\id424381547\BOCCHISpeech\BOCCHI_THE_ROCK_BOCCHI_FIRST_MEET_A		18816
	796135862	BOCCHI_THE_ROCK_KITA_KUDOS_A	C:\Users\14830\3D Objects\CIV_MOD\BOCCHI_BACKROUND_MUSIC\BOCCHI_BACKROUND\.cache\Windows\SFX\BOCCHI_THE_ROCK_KITA_KUDOS_A_988004FB.wem		\Actor-Mixer Hierarchy\LeaderSpeech_BOCCHI_THE_ROCK\id88602518\id854467727\id424381547\BOCCHISpeech\BOCCHI_THE_ROCK_KITA_KUDOS_A		18450
	812653661	BOCCHI_THE_ROCK_BOCCHI_KUDOS_A	C:\Users\14830\3D Objects\CIV_MOD\BOCCHI_BACKROUND_MUSIC\BOCCHI_BACKROUND\.cache\Windows\SFX\BOCCHI_THE_ROCK_BOCCHI_KUDOS_A_988004FB.wem		\Actor-Mixer Hierarchy\LeaderSpeech_BOCCHI_THE_ROCK\id88602518\id854467727\id424381547\BOCCHISpeech\BOCCHI_THE_ROCK_BOCCHI_KUDOS_A		12017
	838144275	BOCCHI_THE_ROCK_RYO_KUDOS_A	C:\Users\14830\3D Objects\CIV_MOD\BOCCHI_BACKROUND_MUSIC\BOCCHI_BACKROUND\.cache\Windows\SFX\BOCCHI_THE_ROCK_RYO_KUDOS_A_988004FB.wem		\Actor-Mixer Hierarchy\LeaderSpeech_BOCCHI_THE_ROCK\id88602518\id854467727\id424381547\BOCCHISpeech\BOCCHI_THE_ROCK_RYO_KUDOS_A		12781
